display_name,fleet_id,model_name,rating,rating_lower,rating_upper,variance,vote_count,rank,category,leaderboard_publish_date
Sonnet 5 high,claude-sonnet-5-high,claude-sonnet-5-high,1466.641880272275,1454.952646251732,1478.3311142928187,35.56934965720638,2780.0,29,industry_business_and_management_and_financial_operations,2026-07-21
GPT 5.3 chat (not Spark),gpt-5.3-chat-latest,gpt-5.3-chat-latest,1460.0426452603238,1451.92903942388,1468.1562510967674,17.136875010748444,6509.0,37,industry_business_and_management_and_financial_operations,2026-07-21
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1496.2333947229076,1489.6642853117514,1502.8025041340643,11.233544460576912,13484.0,1,industry_entertainment_and_sports_and_media,2026-07-21
Fable 5,claude-fable-5,claude-fable-5,1495.948524188992,1485.2964802758338,1506.6005681021502,29.537226565231997,3598.0,2,industry_entertainment_and_sports_and_media,2026-07-21
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1478.2953149520818,1471.953103179343,1484.6375267248204,10.470930979027429,14097.0,4,industry_entertainment_and_sports_and_media,2026-07-21
Sol xHigh,gpt-5.6-sol-xhigh,gpt-5.6-sol-xhigh,1469.6615335808656,1453.0938878597594,1486.2291793019717,71.45381417637915,1420.0,6,industry_entertainment_and_sports_and_media,2026-07-21
Opus 4.8 thinking,claude-opus-4-8-thinking,claude-opus-4-8-thinking,1460.65901957797,1452.3890632058979,1468.9289759500416,17.803699476755998,7205.0,11,industry_entertainment_and_sports_and_media,2026-07-21
Opus 4.8,claude-opus-4-8,claude-opus-4-8,1451.5243286553596,1443.2478616167436,1459.800795693976,17.83174305352065,7207.0,18,industry_entertainment_and_sports_and_media,2026-07-21
GPT 5.5 high,gpt-5.5-high,gpt-5.5-high,1447.9468975587838,1440.5358340567313,1455.3579610608367,14.297657425241894,10227.0,22,industry_entertainment_and_sports_and_media,2026-07-21
GPT 5.5,gpt-5.5,gpt-5.5,1441.6461641330848,1434.333210776761,1448.9591174894085,13.921608765833621,10639.0,30,industry_entertainment_and_sports_and_media,2026-07-21
Sonnet 5 high,claude-sonnet-5-high,claude-sonnet-5-high,1429.7184178356683,1418.4926459075064,1440.9441897638303,32.804713330323096,3125.0,48,industry_entertainment_and_sports_and_media,2026-07-21
GPT 5.3 chat (not Spark),gpt-5.3-chat-latest,gpt-5.3-chat-latest,1414.8867763533021,1406.6564509806094,1423.1171017259949,17.633471788237856,6419.0,61,industry_entertainment_and_sports_and_media,2026-07-21
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1509.082519345268,1499.664585302455,1518.5004533880813,23.089530768092455,5065.0,3,industry_legal_and_government,2026-07-21
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1506.1967901007827,1496.9321661849133,1515.4614140166518,22.34392201215566,5266.0,4,industry_legal_and_government,2026-07-21
Fable 5,claude-fable-5,claude-fable-5,1499.060991690658,1480.6220048856437,1517.4999784956724,88.5070620994075,1120.0,9,industry_legal_and_government,2026-07-21
Opus 4.8,claude-opus-4-8,claude-opus-4-8,1495.4313529001624,1482.8618788963886,1508.0008269039365,41.12804122237126,2564.0,11,industry_legal_and_government,2026-07-21
GPT 5.5 high,gpt-5.5-high,gpt-5.5-high,1493.7768433527406,1482.9230368535757,1504.6306498519052,30.666765158769483,3634.0,13,industry_legal_and_government,2026-07-21
Opus 4.8 thinking,claude-opus-4-8-thinking,claude-opus-4-8-thinking,1491.4262811857293,1478.7323064335512,1504.1202559379071,41.94682346739718,2482.0,14,industry_legal_and_government,2026-07-21
Sol xHigh,gpt-5.6-sol-xhigh,gpt-5.6-sol-xhigh,1486.4552398564588,1457.9492482315914,1514.9612314813264,211.53202375606583,450.0,17,industry_legal_and_government,2026-07-21
GPT 5.5,gpt-5.5,gpt-5.5,1483.5177174185699,1472.822843916012,1494.2125909211275,29.77522982142611,3762.0,20,industry_legal_and_government,2026-07-21
Sonnet 5 high,claude-sonnet-5-high,claude-sonnet-5-high,1478.4284087485212,1459.8838140699056,1496.9730034271367,89.52380016193858,1096.0,26,industry_legal_and_government,2026-07-21
GPT 5.3 chat (not Spark),gpt-5.3-chat-latest,gpt-5.3-chat-latest,1464.2564640658431,1451.722839918854,1476.7900882128322,40.8937702030606,2546.0,47,industry_legal_and_government,2026-07-21
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1527.0633463559366,1520.1188669447943,1534.0078257670787,12.554031304977899,10274.0,2,industry_life_and_physical_and_social_science,2026-07-21
Fable 5,claude-fable-5,claude-fable-5,1525.2923464947296,1512.648190085021,1537.936502904438,41.618223382200625,2343.0,3,industry_life_and_physical_and_social_science,2026-07-21
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1516.2319933136298,1509.4831392236351,1522.9808474036242,11.856701751603236,10955.0,5,industry_life_and_physical_and_social_science,2026-07-21
Opus 4.8 thinking,claude-opus-4-8-thinking,claude-opus-4-8-thinking,1507.0896434782235,1497.9378084393566,1516.2414785170902,21.8031972977118,4943.0,9,industry_life_and_physical_and_social_science,2026-07-21
GPT 5.5 high,gpt-5.5-high,gpt-5.5-high,1498.6487607495799,1490.7058584094875,1506.5916630896722,16.423369487752367,7573.0,12,industry_life_and_physical_and_social_science,2026-07-21
Opus 4.8,claude-opus-4-8,claude-opus-4-8,1496.2096200486917,1487.1742521976798,1505.2449878997038,21.251788972281147,5167.0,15,industry_life_and_physical_and_social_science,2026-07-21
