feature,exact_surface,owner,description_bytes,schema_bytes,last_use_90d,observation_gap,30d_calls,30d_unique_sessions,30d_unique_agents,30d_unique_projects_scopes,30d_orchestrator_calls,30d_worker_calls,30d_runtimes,60d_calls,60d_unique_sessions,60d_unique_agents,60d_unique_projects_scopes,60d_orchestrator_calls,60d_worker_calls,60d_runtimes,90d_calls,90d_unique_sessions,90d_unique_agents,90d_unique_projects_scopes,90d_orchestrator_calls,90d_worker_calls,90d_runtimes,90d_successful,90d_errors,90d_unknown
mcp_tool:retry_initial_delivery,retry_initial_delivery,app/mcp_stdio.py:retry_initial_delivery,82,396,,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
mcp_tool:search_memory,search_memory,app/mcp_stdio.py:search_memory,653,971,2026-08-24T06:10:21.945414+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,164,58,58,5,87,77,claude;codex,164,58,58,5,87,77,claude;codex,164,58,58,5,87,77,claude;codex,164,0,0
mcp_tool:send_chart,send_chart,app/mcp_stdio.py:send_chart,1662,2134,,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
mcp_tool:send_file,send_file,app/mcp_stdio.py:send_file,152,455,2026-08-24T06:03:31.208747+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,52,6,6,4,43,9,claude;codex,52,6,6,4,43,9,claude;codex,52,6,6,4,43,9,claude;codex,45,0,7
mcp_tool:send_message,send_message,app/mcp_stdio.py:send_message,57,286,2026-08-24T06:07:55.569417+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,299,61,61,6,139,160,claude;codex,299,61,61,6,139,160,claude;codex,299,61,61,6,139,160,claude;codex,296,2,1
mcp_tool:spawn_worker,spawn_worker,app/mcp_stdio.py:spawn_worker,1397,2349,2026-08-24T06:09:46.442197+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,90,9,9,4,57,33,claude;codex,90,9,9,4,57,33,claude;codex,90,9,9,4,57,33,claude;codex,69,21,0
mcp_tool:stop_worker,stop_worker,app/mcp_stdio.py:stop_worker,117,294,2026-08-24T05:26:10.761874+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,4,3,3,2,3,1,codex,4,3,3,2,3,1,codex,4,3,3,2,3,1,codex,4,0,0
mcp_tool:switch_worker_branch,switch_worker_branch,app/mcp_stdio.py:switch_worker_branch,389,830,2026-08-23T15:20:35.940779+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,3,2,2,2,3,0,claude;codex,3,2,2,2,3,0,claude;codex,3,2,2,2,3,0,claude;codex,3,0,0
mcp_tool:task_create,task_create,app/mcp_stdio.py:task_create,277,904,2026-08-24T06:08:57.204013+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,102,5,5,5,102,0,claude;codex,102,5,5,5,102,0,claude;codex,102,5,5,5,102,0,claude;codex,99,3,0
mcp_tool:task_get,task_get,app/mcp_stdio.py:task_get,80,307,2026-08-24T05:08:20.677020+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,28,7,7,3,24,4,claude;codex,28,7,7,3,24,4,claude;codex,28,7,7,3,24,4,claude;codex,28,0,0
mcp_tool:task_list,task_list,app/mcp_stdio.py:task_list,59,349,2026-08-24T05:26:19.892367+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,9,5,5,5,9,0,claude;codex,9,5,5,5,9,0,claude;codex,9,5,5,5,9,0,claude;codex,9,0,0
mcp_tool:task_update,task_update,app/mcp_stdio.py:task_update,477,1184,2026-08-24T05:51:11.139466+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,92,4,4,4,92,0,claude;codex,92,4,4,4,92,0,claude;codex,92,4,4,4,92,0,claude;codex,92,0,0
mcp_tool:test_lock_status,test_lock_status,app/mcp_stdio.py:test_lock_status,111,239,,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
mcp_tool:update_progress,update_progress,app/mcp_stdio.py:update_progress,80,328,2026-08-23T14:22:53.593089+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,5,3,3,2,0,5,claude;codex,5,3,3,2,0,5,claude;codex,5,3,3,2,0,5,claude;codex,5,0,0
mcp_tool:update_worker_description,update_worker_description,app/mcp_stdio.py:update_worker_description,91,364,2026-08-23T16:17:46.930888+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,4,2,2,2,4,0,codex,4,2,2,2,4,0,codex,4,2,2,2,4,0,codex,4,0,0
mcp_tool:update_worker_prompt,update_worker_prompt,app/mcp_stdio.py:update_worker_prompt,39,308,2026-08-23T15:27:55.620930+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,5,1,1,1,5,0,codex,5,1,1,1,5,0,codex,5,1,1,1,5,0,codex,5,0,0
mcp_tool:worker_wip,worker_wip,app/mcp_stdio.py:worker_wip,159,396,2026-08-24T06:00:05.812699+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,121,8,8,5,106,15,claude;codex,121,8,8,5,106,15,claude;codex,121,8,8,5,106,15,claude;codex,121,0,0
